11,12,0,0,23,24,6,5,30,30,0,30,0,1,0
10,12,0,0,22,24,7,5,30,30,0,30,0,1,0
9,12,0,0,21,24,8,5,30,30,0,30,0,1,0
8,12,0,0,20,24,9,5,30,30,0,30,0,1,0
7,12,0,0,19,24,10,5,30,30,0,30,0,1,0
6,12,0,0,18,24,11,5,30,30,0,30,0,1,0
5,12,0,0,17,24,12,5,30,30,0,30,0,1,0
4,12,0,0,16,24,13,5,30,30,0,30,0,1,0
3,12,0,0,15,24,14,5,30,30,0,30,0,1,0
2,12,0,0,14,24,15,5,30,30,0,30,0,1,0
1,12,0,0,13,24,16,5,30,30,0,30,0,1,0
0,12,0,0,12,24,17,5,30,30,0,30,0,0,1
11,0,0,0,23,17,6,12,30,30,0,30,0,1,0
10,0,0,0,22,17,7,12,30,30,0,30,0,1,0
9,0,0,0,21,17,8,12,30,30,0,30,0,1,0
8,0,0,0,20,17,9,12,30,30,0,30,0,1,0
7,0,0,0,19,17,10,12,30,30,0,30,0,1,0
6,0,0,0,18,17,11,12,30,30,0,30,0,1,0
5,0,0,0,17,17,12,12,30,30,0,30,0,1,0
4,0,0,0,16,17,13,12,30,30,0,30,0,1,0
3,0,0,0,15,17,14,12,30,30,0,30,0,1,0
2,0,0,0,14,17,15,12,30,30,0,30,0,1,0
1,0,0,0,13,17,16,12,30,30,0,30,0,1,0
0,14,17,0,12,17,17,12,30,30,0,30,0,0,1
13,17,0,0,16,17,13,12,30,11,0,30,0,1,0
12,17,0,0,15,17,14,12,30,11,0,30,0,1,0
11,17,0,0,14,17,15,12,30,11,0,30,0,1,0
10,17,0,0,13,17,16,12,30,11,0,30,0,1,0
9,17,0,0,12,17,17,12,30,11,0,30,0,1,0
8,17,0,0,11,17,18,12,30,11,0,30,0,1,0
7,17,0,0,10,17,19,12,30,30,0,30,0,1,0
6,17,0,0,9,17,20,12,30,30,0,30,0,1,0
5,17,0,0,8,17,21,12,30,30,0,30,0,1,0
4,17,0,0,7,17,22,12,30,30,0,30,0,1,0
3,17,0,0,6,17,23,12,30,30,0,30,0,1,0
2,17,0,0,5,17,24,12,30,30,0,30,0,1,0
1,17,0,0,4,17,25,12,30,30,0,30,0,1,0
0,17,0,0,3,17,26,12,30,30,0,30,0,1,0
0,17,1,0,2,17,27,12,30,30,0,30,0,0,1
16,1,0,0,16,27,13,2,30,14,0,30,0,1,0
15,1,0,0,15,27,14,2,30,14,0,30,0,1,0
14,1,0,0,14,27,15,2,30,14,0,30,0,1,0
13,1,0,0,13,27,16,2,30,14,0,30,0,1,0
12,1,0,0,12,27,17,2,30,30,0,30,0,1,0
11,1,0,0,11,27,18,2,30,30,0,30,0,1,0
10,1,0,0,10,27,19,2,30,30,0,30,0,1,0
9,1,0,0,9,27,20,2,30,30,0,30,0,1,0
8,1,0,0,8,27,21,2,30,30,0,30,0,0,1
0,0,0,8,26,21,3,8,30,8,0,30,1,0,0
7,0,0,0,7,26,22,3,30,30,0,30,0,1,0
6,0,0,0,6,26,23,3,30,30,0,30,0,1,0
5,0,0,0,5,26,24,3,30,30,0,30,0,1,0
4,0,0,0,4,26,25,3,30,30,0,30,0,1,0
3,0,0,0,3,26,26,3,30,30,0,30,0,1,0
2,0,0,0,2,26,27,3,30,30,0,30,0,1,0
1,0,0,0,1,26,28,3,30,30,0,30,0,1,0
0,7,13,0,0,26,29,3,30,30,0,30,0,0,1
6,13,0,0,25,29,4,0,30,16,0,30,0,1,0
5,13,0,0,24,29,5,0,30,16,0,30,0,1,0
4,13,0,0,23,29,6,0,30,30,0,30,0,1,0
3,13,0,0,22,29,7,0,30,30,0,30,0,1,0
2,13,0,0,21,29,8,0,30,30,0,30,0,1,0
1,13,0,0,20,29,9,0,30,30,0,30,0,1,0
0,13,0,0,19,29,10,0,30,30,0,30,0,0,1
12,0,0,0,28,10,1,19,30,6,0,30,0,1,0
11,0,0,0,27,10,2,19,30,6,0,30,0,1,0
10,0,0,0,26,10,3,19,30,6,0,30,0,1,0
9,0,0,0,25,10,4,19,30,6,0,30,0,1,0
8,0,0,0,24,10,5,19,30,6,0,30,0,1,0
7,0,0,0,23,10,6,19,30,6,0,30,0,1,0
6,0,0,0,22,10,7,19,30,6,0,30,0,1,0
5,0,0,0,21,10,8,19,30,6,0,30,0,1,0
4,0,0,0,20,10,9,19,30,30,0,30,0,1,0
3,0,0,0,19,10,10,19,30,30,0,30,0,1,0
2,0,0,0,18,10,11,19,30,30,0,30,0,1,0
1,0,0,0,17,10,12,19,30,30,0,30,0,1,0
12,10,0,0,16,10,13,19,30,30,0,30,0,1,0
